cat,n,d_succ,d_grasp,h_lo,h_hi
garlic,58,-0.02538080249174801,-0.036815266092375065,0.0739264705882353,0.0798
glass_cup,51,0.20654762591203765,0.25337663342162303,0.10640370370370371,0.1262625
ice_cube,292,0.2516551809135306,0.2593630053221233,0.031415675675675686,0.049800000000000004
jam,68,-0.016288974090997735,-0.14062002112858513,0.05589999999999999,0.0675
jar,270,-0.1449064467289325,-0.16341630870974708,0.1574019867549669,0.23994957983193282
jug,150,-0.1348047637066937,-0.1687765075606133,0.14786326530612245,0.18151538461538463
juice,261,-0.05899120632836877,-0.08304024606606178,0.2162317567567568,0.25629292035398227
ketchup,41,0.1657768673831526,0.08620911092138742,0.150448,0.16233750000000002
kiwi,38,-0.00046466165413538985,0.06255664160400998,0.04573571428571428,0.0513
ladle,70,0.18685887274637775,0.15033456204970871,0.10447272727272726,0.1304
lemon,55,-0.032039035778589825,-0.07054540029037819,0.056475,0.061711111111111105
lemon_wedge,60,0.15015748524276043,0.11318062037065652,0.03853269230769231,0.0484375
lime,50,0.05951277304129854,0.16373035326329824,0.061300000000000014,0.07030000000000002
mango,55,-0.36955861903486453,-0.341464582794788,0.0573,0.06570000000000002
measuring_cup,56,-0.31706907750271596,-0.2483471904398678,0.06720909090909091,0.08190000000000003
milk,44,-0.35000309431674803,-0.4319675470315,0.121252,0.18149999999999997
mug,36,-0.04629253536071535,0.12231591618506041,0.08413846153846152,0.09638
mushroom,53,-0.24917708354856608,-0.12567922057051023,0.04490714285714285,0.064848
onion,65,-0.23509090037012526,0.036458250042014924,0.07055625,0.07332352941176472
orange,55,-0.20462900426406103,-0.2154371702370773,0.05599230769230768,0.07475000000000001
peach,85,-0.019088021554097306,-0.04903764390955534,0.06119722222222222,0.06899999999999998
pear,87,-0.11295664744229446,-0.11156481499241822,0.06350322580645161,0.06985599999999999
peeler,48,0.032747387700019295,-0.04656184692500483,0.021922857142857143,0.028000000000000008
pitcher,404,-0.08429867984100577,-0.09217290657150116,0.2231441666666667,0.25369878048780486
potato,70,-0.015063843876017474,0.015932708711358323,0.06319444444444444,0.0783970588235294
reamer,133,-0.2535358012539628,-0.3067298067446932,0.08968043478260868,0.2514487804878049
rolling_pin,61,0.07658870158326259,0.00904943808312128,0.04479333333333333,0.0587
salt_and_pepper_shaker,40,0.09807647284415062,0.07059075115694241,0.10097272727272727,0.10556111111111113
saucepan,69,-0.17143545374406868,-0.3042039873007731,0.10921578947368422,0.17359032258064516
saucepan_lid,45,-0.25464953886693015,-0.1545902503293807,0.04754782608695652,0.07753636363636361
shrimp,48,0.14638182261208582,0.15088718323586747,0.020800000000000003,0.022275
soap_dispenser,241,-0.1656366317027325,-0.18103941755887618,0.156196875,0.19323185840707965
sponge,74,-0.07509866145704809,-0.05080390050293723,0.03219024390243903,0.0415
spray,214,-0.169127095561958,-0.21837680414923197,0.22962279411764702,0.2740410256410257
squash,45,0.13764144963062697,0.14173314452962404,0.05428378378378379,0.0709
steak,37,0.09414455624355003,0.10820466976264187,0.026225,0.06117058823529412
strainer,57,-0.2104780573312002,-0.24458838745552897,0.08303529411764707,0.08892173913043477
straw,44,0.14346774617842317,0.1625022360290038,0.0060214285714285725,0.007887499999999999
sweet_potato,74,-0.10983806473975691,-0.09747580412639138,0.0523,0.053500000000000006
tangerine,45,-0.03747896051267549,-0.03804181980963153,0.04693333333333332,0.05231666666666666
