split,shape_nl,height_lin,cat_m0,cat_m10,cat_m30,shape+cat
70,0.6276679150325523,0.6023061878774748,0.644689385193349,0.6466941931582431,0.644946465136668,0.6521287110751488
71,0.6544263427064846,0.6239549989227665,0.6590722223948345,0.6591791687831869,0.6592482646720135,0.6713554968457878
72,0.6508813286018271,0.6305728545839429,0.6968339671575232,0.6970632363340481,0.6968999786626023,0.6981366617004665
73,0.6428821422291451,0.6156993069148317,0.6477313269649153,0.6501149580963121,0.6495398788394021,0.6602015172767312
74,0.6454076104672375,0.6154408785946205,0.6626978311718144,0.664320865796381,0.664412764059531,0.6693221244310402
75,0.6456905340295528,0.6133829582504753,0.662090236222677,0.6656920593584978,0.6677341164669764,0.67722118797856
76,0.6392731300658578,0.6098951644596432,0.660134534209291,0.6589109048877942,0.6567245113458797,0.6658871394094722
77,0.6525902443457559,0.6196900315894809,0.6500809796638217,0.6536840274193472,0.6543236865763035,0.6626004160492052
78,0.659842393078531,0.6288295277396662,0.6765398801241292,0.6770198653452135,0.6776590493289256,0.6878179764392482
79,0.6502983863209911,0.6158344904973381,0.6743993970220414,0.6750448053743936,0.6752491031376598,0.6797552649389605
80,0.6441483246959587,0.6216613353678055,0.6591160176691537,0.6640375235769101,0.663497312754562,0.6758217374142526
81,0.6302987201745807,0.6052987098972802,0.6425292149523362,0.6415636003377082,0.6395392969521639,0.6489571347854968
82,0.6439385749277979,0.6155722827324138,0.6676191633939222,0.6675882164610296,0.6674106306555975,0.6736779842993286
83,0.6388290593592333,0.6124618074184893,0.6681870518976252,0.6664882352015358,0.662517721353253,0.6712094543675705
84,0.653025702670549,0.6086465307850749,0.6630756402355035,0.6633979085391388,0.6610563599443059,0.6716559023625838
85,0.6309803868298731,0.6000426169674163,0.64265209328446,0.644240003500954,0.6451798571785174,0.6515577652613288
86,0.642582989550275,0.6097924438372083,0.6443846212348703,0.644335504952116,0.644878414139353,0.6545247163295304
87,0.648899904183091,0.6209770785326821,0.6601061758200061,0.6598665970149941,0.6594248738483748,0.6721528791172895
88,0.6431987012713094,0.6227070834757344,0.6652721383018174,0.6669586857900828,0.6663965762688185,0.6735211491036477
89,0.6322184109029645,0.6127076022495433,0.654895222644479,0.6521695402164308,0.6485725787482025,0.6588244862554677
90,0.6559778799587533,0.6248509441955828,0.6574915463953326,0.6571139721591629,0.6577439254723293,0.6703133313463278
91,0.6401826719233766,0.618483207153204,0.6533393363017721,0.6513886916990059,0.6490379736149146,0.6601243081181463
92,0.6284941904056082,0.6094841312036661,0.6524463876434622,0.6526035256989975,0.6501990735822929,0.6592783450095937
93,0.6304355033198142,0.6101702682593529,0.6393281232780895,0.6393345308834805,0.6404761762649869,0.650125976003205
